app,model,table,data_class,field,db_column,type,null,blank,primary_key,unique,db_index,default,choices,relation,to_model,on_delete,related_name
core,AccessRequest,core_accessrequest,config/onboarding,id,id,BigAutoField,False,True,True,True,False,,,,,,
core,AccessRequest,core_accessrequest,config/onboarding,name,name,CharField(max_length=200),False,False,False,False,False,,,,,,
core,AccessRequest,core_accessrequest,config/onboarding,employee_id,employee_id,CharField(max_length=50),True,True,False,False,False,,,,,,
core,AccessRequest,core_accessrequest,config/onboarding,email,email,CharField(max_length=254),False,False,False,False,False,,,,,,
core,AccessRequest,core_accessrequest,config/onboarding,team,team,CharField(max_length=100),True,True,False,False,False,,,,,,
core,AccessRequest,core_accessrequest,config/onboarding,message,message,TextField,True,True,False,False,False,,,,,,
core,AccessRequest,core_accessrequest,config/onboarding,tenant,tenant_id,ForeignKey->Tenant,True,True,False,False,True,,,FK,Tenant,SET_NULL,access_requests
core,AccessRequest,core_accessrequest,config/onboarding,status,status,CharField(max_length=10),False,False,False,False,False,AccessRequest.Status.PENDING,PENDING=Pending; APPROVED=Approved; REJECTED=Rejected,,,,
core,AccessRequest,core_accessrequest,config/onboarding,created_at,created_at,DateTimeField,False,False,False,False,False,callable:now,,,,,
core,AccessRequest,core_accessrequest,config/onboarding,reviewed_by,reviewed_by_id,ForeignKey->User,True,True,False,False,True,,,FK,User,SET_NULL,reviewed_access_requests
core,AccessRequest,core_accessrequest,config/onboarding,reviewed_at,reviewed_at,DateTimeField,True,True,False,False,False,,,,,,
core,AccessRequest,core_accessrequest,config/onboarding,created_user,created_user_id,ForeignKey->User,True,True,False,False,True,,,FK,User,SET_NULL,from_access_request
core,AuditLog,core_auditlog,audit,id,id,BigAutoField,False,True,True,True,False,,,,,,
core,AuditLog,core_auditlog,audit,tenant,tenant_id,ForeignKey->Tenant,True,True,False,False,True,,,FK,Tenant,SET_NULL,audit_logs
core,AuditLog,core_auditlog,audit,site,site_id,ForeignKey->Site,True,True,False,False,True,,,FK,Site,SET_NULL,audit_logs
core,AuditLog,core_auditlog,audit,user,user_id,ForeignKey->User,True,True,False,False,True,,,FK,User,SET_NULL,(default)
core,AuditLog,core_auditlog,audit,username,username,CharField(max_length=150),True,True,False,False,False,,,,,,
core,AuditLog,core_auditlog,audit,action,action,CharField(max_length=50),False,False,False,False,False,,,,,,
core,AuditLog,core_auditlog,audit,entity_type,entity_type,CharField(max_length=80),True,True,False,False,False,,,,,,
core,AuditLog,core_auditlog,audit,entity_id,entity_id,CharField(max_length=64),True,True,False,False,False,,,,,,
core,AuditLog,core_auditlog,audit,old_value,old_value,TextField,True,True,False,False,False,,,,,,
core,AuditLog,core_auditlog,audit,new_value,new_value,TextField,True,True,False,False,False,,,,,,
core,AuditLog,core_auditlog,audit,detail,detail,CharField(max_length=255),True,True,False,False,False,,,,,,
core,AuditLog,core_auditlog,audit,path,path,CharField(max_length=255),True,True,False,False,False,,,,,,
core,AuditLog,core_auditlog,audit,ip,ip,CharField(max_length=64),True,True,False,False,False,,,,,,
core,AuditLog,core_auditlog,audit,user_agent,user_agent,CharField(max_length=255),True,True,False,False,False,,,,,,
core,AuditLog,core_auditlog,audit,created_at,created_at,DateTimeField,False,False,False,False,False,callable:now,,,,,
core,BankTransaction,core_banktransaction,inferred:?,id,id,BigAutoField,False,True,True,True,False,,,,,,
core,BankTransaction,core_banktransaction,inferred:?,tenant,tenant_id,ForeignKey->Tenant,False,False,False,False,True,,,FK,Tenant,CASCADE,bank_transactions
core,BankTransaction,core_banktransaction,inferred:?,txn_date,txn_date,DateField,False,False,False,False,False,callable:now,,,,,
core,BankTransaction,core_banktransaction,inferred:?,description,description,CharField(max_length=255),False,False,False,False,False,,,,,,
core,BankTransaction,core_banktransaction,inferred:?,amount,amount,"DecimalField(12,2)",False,False,False,False,False,,,,,,
core,BankTransaction,core_banktransaction,inferred:?,reference,reference,CharField(max_length=100),True,True,False,False,False,,,,,,
core,BankTransaction,core_banktransaction,inferred:?,matched_payment,matched_payment_id,ForeignKey->Payment,True,True,False,False,True,,,FK,Payment,SET_NULL,bank_transactions
core,BankTransaction,core_banktransaction,inferred:?,matched_expense,matched_expense_id,ForeignKey->Expense,True,True,False,False,True,,,FK,Expense,SET_NULL,bank_transactions
core,BankTransaction,core_banktransaction,inferred:?,is_reconciled,is_reconciled,BooleanField,False,False,False,False,False,False,,,,,
core,BankTransaction,core_banktransaction,inferred:?,reconciled_at,reconciled_at,DateTimeField,True,True,False,False,False,,,,,,
core,BankTransaction,core_banktransaction,inferred:?,created_at,created_at,DateTimeField,False,False,False,False,False,callable:now,,,,,
