model,table,kind,fields_or_check,name,condition
AccessRequest,core_accessrequest,index_field,tenant,,
AccessRequest,core_accessrequest,index_field,reviewed_by,,
AccessRequest,core_accessrequest,index_field,created_user,,
AuditLog,core_auditlog,index,tenant|-created_at,core_auditl_tenant__93f9ab_idx,
AuditLog,core_auditlog,index,action,core_auditl_action_d9fb24_idx,
AuditLog,core_auditlog,index,entity_type|entity_id,core_auditl_entity__244637_idx,
AuditLog,core_auditlog,index_field,tenant,,
AuditLog,core_auditlog,index_field,site,,
AuditLog,core_auditlog,index_field,user,,
BankTransaction,core_banktransaction,index_field,tenant,,
BankTransaction,core_banktransaction,index_field,matched_payment,,
BankTransaction,core_banktransaction,index_field,matched_expense,,
BillOfMaterials,core_billofmaterials,unique_together,tenant|product|name,,
BillOfMaterials,core_billofmaterials,index_field,tenant,,
BillOfMaterials,core_billofmaterials,index_field,product,,
BillOfMaterialsLine,core_billofmaterialsline,unique_together,bom|component,,
BillOfMaterialsLine,core_billofmaterialsline,index_field,bom,,
BillOfMaterialsLine,core_billofmaterialsline,index_field,component,,
BillOfMaterialsLine,core_billofmaterialsline,index_field,uom,,
Bin,core_bin,unique_together,location|code,,
Bin,core_bin,index_field,tenant,,
Bin,core_bin,index_field,location,,
ChannelConnection,core_channelconnection,index_field,tenant,,
ChannelOrder,core_channelorder,unique_together,tenant|channel|external_order_id,,
ChannelOrder,core_channelorder,index_field,tenant,,
ChannelSnapshot,core_channelsnapshot,index_field,tenant,,
Container,core_container,unique_together,shipment|container_number,,
Container,core_container,index_field,shipment,,
CreditNote,core_creditnote,unique_together,tenant|credit_note_number,,
CreditNote,core_creditnote,index_field,tenant,,
CreditNote,core_creditnote,index_field,customer,,
CreditNote,core_creditnote,index_field,supplier,,
CreditNote,core_creditnote,index_field,customer_invoice,,
CreditNote,core_creditnote,index_field,supplier_invoice,,
CreditNote,core_creditnote,index_field,posted_by,,
CreditNoteLine,core_creditnoteline,index_field,credit_note,,
CreditNoteLine,core_creditnoteline,index_field,product,,
CreditNoteLine,core_creditnoteline,index_field,tax_code,,
CreditNoteLine,core_creditnoteline,index_field,account,,
Customer,core_customer,unique_together,tenant|name,,
Customer,core_customer,index_field,tenant,,
CustomerInvoice,core_customerinvoice,unique_together,tenant|invoice_number,,
CustomerInvoice,core_customerinvoice,index_field,tenant,,
CustomerInvoice,core_customerinvoice,index_field,customer,,
CustomerInvoice,core_customerinvoice,index_field,site,,
CustomerInvoice,core_customerinvoice,index_field,location,,
CustomerInvoice,core_customerinvoice,index_field,source_quote,,
CustomerInvoice,core_customerinvoice,index_field,source_order,,
CustomerInvoice,core_customerinvoice,index_field,deleted_by,,
CustomerInvoiceLine,core_customerinvoiceline,unique_together,invoice|product|description,,
CustomerInvoiceLine,core_customerinvoiceline,index_field,invoice,,
CustomerInvoiceLine,core_customerinvoiceline,index_field,product,,
CustomerInvoiceLine,core_customerinvoiceline,index_field,uom,,
CustomerInvoiceLine,core_customerinvoiceline,index_field,tax_code,,
CustomerOrder,core_customerorder,unique_together,tenant|order_number,,
CustomerOrder,core_customerorder,index_field,tenant,,
CustomerOrder,core_customerorder,index_field,customer,,
CustomerOrder,core_customerorder,index_field,site,,
CustomerOrder,core_customerorder,index_field,location,,
CustomerOrder,core_customerorder,index_field,quote,,
CustomerOrderLine,core_customerorderline,index_field,product,,
CustomerOrderLine,core_customerorderline,index_field,uom,,
CustomerOrderLine,core_customerorderline,index_field,tax_code,,
CustomerOrderLine,core_customerorderline,index_field,order,,
CycleCount,core_cyclecount,index_field,tenant,,
CycleCount,core_cyclecount,index_field,location,,
CycleCountLine,core_cyclecountline,unique_together,cycle_count|product|lot_code|serial_number|expiry_date,,
CycleCountLine,core_cyclecountline,index_field,cycle_count,,
CycleCountLine,core_cyclecountline,index_field,product,,
CycleCountValuationCorrection,core_cyclecountvaluationcorrection,index,tenant|created_at,core_cyclec_tenant__3cf67f_idx,
CycleCountValuationCorrection,core_cyclecountvaluationcorrection,index_field,tenant,,
CycleCountValuationCorrection,core_cyclecountvaluationcorrection,unique_field,original_movement,,
CycleCountValuationCorrection,core_cyclecountvaluationcorrection,index_field,product,,
CycleCountValuationCorrection,core_cyclecountvaluationcorrection,index_field,location,,
CycleCountValuationCorrection,core_cyclecountvaluationcorrection,index_field,correction_journal,,
CycleCountValuationCorrection,core_cyclecountvaluationcorrection,index_field,reval_movement,,
CycleCountValuationCorrection,core_cyclecountvaluationcorrection,index_field,created_by,,
Department,core_department,unique_together,tenant|name,,
Department,core_department,index_field,tenant,,
Department,core_department,index_field,site,,
Department,core_department,index_field,manager,,
EmailLog,core_emaillog,index,tenant|created_at,core_emaill_tenant__8614ce_idx,
EmailLog,core_emaillog,index_field,tenant,,
EmailLog,core_emaillog,index_field,created_by,,
Expense,core_expense,index_field,tenant,,
Expense,core_expense,index_field,site,,
Expense,core_expense,index_field,supplier,,
Expense,core_expense,index_field,category,,
Expense,core_expense,index_field,tax_code,,
Expense,core_expense,index_field,submitted_by,,
Expense,core_expense,index_field,approved_by,,
Expense,core_expense,index_field,posted_by,,
GLAccount,core_glaccount,unique_together,tenant|code,,
GLAccount,core_glaccount,index_field,tenant,,
GoodsReceipt,core_goodsreceipt,unique_together,tenant|grn_number,,
GoodsReceipt,core_goodsreceipt,index_field,tenant,,
GoodsReceipt,core_goodsreceipt,index_field,po,,
GoodsReceipt,core_goodsreceipt,index_field,shipment,,
GoodsReceipt,core_goodsreceipt,index_field,received_to,,
GoodsReceiptLine,core_goodsreceiptline,unique_together,receipt|po_line|lot_code|serial_number|expiry_date,,
GoodsReceiptLine,core_goodsreceiptline,index_field,receipt,,
