from_model,from_table,field,relation,to_model,on_delete,related_name,null
AccessRequest,core_accessrequest,tenant,FK,Tenant,SET_NULL,access_requests,True
AccessRequest,core_accessrequest,reviewed_by,FK,User,SET_NULL,reviewed_access_requests,True
AccessRequest,core_accessrequest,created_user,FK,User,SET_NULL,from_access_request,True
AuditLog,core_auditlog,tenant,FK,Tenant,SET_NULL,audit_logs,True
AuditLog,core_auditlog,site,FK,Site,SET_NULL,audit_logs,True
AuditLog,core_auditlog,user,FK,User,SET_NULL,(default),True
BankTransaction,core_banktransaction,tenant,FK,Tenant,CASCADE,bank_transactions,False
BankTransaction,core_banktransaction,matched_payment,FK,Payment,SET_NULL,bank_transactions,True
BankTransaction,core_banktransaction,matched_expense,FK,Expense,SET_NULL,bank_transactions,True
BillOfMaterials,core_billofmaterials,tenant,FK,Tenant,CASCADE,(default),False
BillOfMaterials,core_billofmaterials,product,FK,Product,CASCADE,boms,False
BillOfMaterialsLine,core_billofmaterialsline,bom,FK,BillOfMaterials,CASCADE,lines,False
BillOfMaterialsLine,core_billofmaterialsline,component,FK,Product,PROTECT,bom_component_of,False
BillOfMaterialsLine,core_billofmaterialsline,uom,FK,UnitOfMeasure,PROTECT,(default),True
Bin,core_bin,tenant,FK,Tenant,CASCADE,(default),False
Bin,core_bin,location,FK,Location,CASCADE,bins,False
ChannelConnection,core_channelconnection,tenant,FK,Tenant,CASCADE,(default),False
ChannelOrder,core_channelorder,tenant,FK,Tenant,CASCADE,(default),False
ChannelSnapshot,core_channelsnapshot,tenant,FK,Tenant,CASCADE,(default),False
Container,core_container,shipment,FK,Shipment,CASCADE,containers,False
CreditNote,core_creditnote,tenant,FK,Tenant,CASCADE,credit_notes,False
CreditNote,core_creditnote,customer,FK,Customer,PROTECT,credit_notes,True
CreditNote,core_creditnote,supplier,FK,Supplier,PROTECT,credit_notes,True
CreditNote,core_creditnote,customer_invoice,FK,CustomerInvoice,PROTECT,credit_notes,True
CreditNote,core_creditnote,supplier_invoice,FK,SupplierInvoice,PROTECT,credit_notes,True
CreditNote,core_creditnote,posted_by,FK,User,SET_NULL,(default),True
CreditNoteLine,core_creditnoteline,credit_note,FK,CreditNote,CASCADE,lines,False
CreditNoteLine,core_creditnoteline,product,FK,Product,PROTECT,(default),True
CreditNoteLine,core_creditnoteline,tax_code,FK,TaxCode,PROTECT,(default),True
CreditNoteLine,core_creditnoteline,account,FK,GLAccount,PROTECT,credit_note_lines,True
Customer,core_customer,tenant,FK,Tenant,CASCADE,(default),False
CustomerInvoice,core_customerinvoice,tenant,FK,Tenant,CASCADE,(default),False
CustomerInvoice,core_customerinvoice,customer,FK,Customer,PROTECT,(default),False
CustomerInvoice,core_customerinvoice,site,FK,Site,SET_NULL,customer_invoices,True
CustomerInvoice,core_customerinvoice,location,FK,Location,SET_NULL,customer_invoices,True
CustomerInvoice,core_customerinvoice,source_quote,FK,SalesQuote,SET_NULL,invoices,True
CustomerInvoice,core_customerinvoice,source_order,FK,CustomerOrder,SET_NULL,invoices,True
CustomerInvoice,core_customerinvoice,deleted_by,FK,User,SET_NULL,deleted_invoices,True
CustomerInvoiceLine,core_customerinvoiceline,invoice,FK,CustomerInvoice,CASCADE,lines,False
CustomerInvoiceLine,core_customerinvoiceline,product,FK,Product,PROTECT,(default),True
CustomerInvoiceLine,core_customerinvoiceline,uom,FK,UnitOfMeasure,PROTECT,(default),True
CustomerInvoiceLine,core_customerinvoiceline,tax_code,FK,TaxCode,PROTECT,(default),True
CustomerOrder,core_customerorder,tenant,FK,Tenant,CASCADE,customer_orders,False
